,Unnamed: 0,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php,gem1_ph_local,sieve_r,sieve_ph,rate,hole_id
10,636,0.0135368280806833,3.279193214251738,-5100.254693951873,4399.840865994559,817.0577238294748,0.0514900874046566,3.439047858195768,0.004303111855338,0.2974552046059746,70.03980792064002,3.284020650835021,7433.058626113362,43
11,673,0.0135345954883132,3.253237162346799,-5099.712615513634,4399.841330764922,816.1593199839677,0.0513792068991321,3.4199448686627845,0.003899242677005,0.2783522150729913,70.20485967250809,3.2683893764056458,7481.202353919959,43
12,712,0.0130397331398667,3.3279535687688164,-5100.457753718715,4399.8538066292895,823.1952066999023,0.0522474546110697,3.494055612228589,0.0048068862866008,0.3524629586387959,68.27232928615908,3.3133463175537785,8957.869545843207,43
13,801,0.0134582746127211,3.303128410847979,-5099.649724082547,4399.847195877466,817.1435353696658,0.0514806703723464,3.4722151168490174,0.0046314086860562,0.3306224632592243,69.95364069106158,3.2977290441321903,8128.630435782407,43
14,822,0.0132409374706549,3.2841812738844425,-5099.514116225969,4399.848556850046,820.8378792238836,0.0524176070398582,3.398253668268456,0.0036815257561687,0.2566610146786625,68.98749223347492,3.26784816111308,8290.166791336256,43
15,827,0.0133382648900838,3.31408296937903,-5099.879013146278,4399.840966645888,821.6597017483243,0.052121286684569,3.4790024656972576,0.0044330833354141,0.3374098121074644,68.87353056515563,3.303369396847712,7444.190400574132,43
16,842,0.0127901268636301,3.238164109670672,-5099.631533206843,4399.855188123534,826.9935251249468,0.0528932061073107,3.4047017708371863,0.0030673579537282,0.2631091172473931,67.1418406356729,3.265977974134568,9146.24324342918,43
17,863,0.0132999106463348,3.335554269885729,-5100.420511704574,4399.846018473356,825.919574432326,0.0526454066103876,3.444591266528101,0.004189441088105,0.3029986129383077,67.7922430127254,3.296442523048352,7992.459899192443,43
18,871,0.0131152032567583,3.289445176079464,-5099.723537130759,4247.945384510146,831.388178583801,0.0531603189009802,3.4577929469086515,0.0043713768191509,0.3162002933188583,68.17832880809785,3.2935920721008176,9638.612958984935,43
19,965,0.0132850066933269,3.2476748191095526,-5099.757795335575,4399.846494867236,820.0932730535505,0.052226014441888,3.3853237580494944,0.0034627539399622,0.2437311044597012,69.21106593528508,3.2560731773281124,8047.163899681395,43
20,1007,0.0136434826609882,3.3102034784024106,-5100.342021491144,4399.840236376392,817.833241462077,0.0513806759961679,3.479213280816326,0.004525844968266,0.3376206272265327,69.90443961067197,3.3001785586294843,7368.53547578631,43
21,1072,0.0135762611692123,3.319670823372937,-5099.581095181135,4399.835424509113,819.0496243097584,0.0518252192058985,3.484649829257725,0.0048385334081731,0.3430571756679317,69.62379033138144,3.3055822777619963,6900.599859191105,43
22,1093,0.0131197424624663,3.2680415331538897,-5099.874226829799,4399.855862404452,826.1655381437037,0.0528281288246161,3.3745033804819213,0.0027186688128676,0.2329107268921282,67.43343839530614,3.259270617464765,9240.234405393128,43
23,1165,0.0130665373447961,3.278251453981718,-5099.549087194586,4399.857920545145,820.3861863642824,0.051923673258847,3.3908470244136955,0.0033840919927892,0.2492543708239023,68.8386403867598,3.2630609559544013,9554.416799647612,43
24,1180,0.0132561006405944,3.2619897742366866,-5099.988414267217,4399.85078552085,819.2166412726626,0.0519700195184963,3.398770569606298,0.0040184184670083,0.2571779160165048,69.33148782349235,3.2637216538819915,8564.688248790864,43
25,1292,0.0127424454907188,3.2457298609669896,-5100.460939419123,4399.858642745676,823.7431703146835,0.0525961241275922,3.4038005600937757,0.003716340986485,0.2622079065039822,68.08315058557623,3.264233448174084,9642.667022615102,43
26,1300,0.013530400115182,3.299651976641488,-5099.718286973898,4399.845200048689,819.0435098458561,0.0514392726972855,3.4332410155140174,0.0039206295639557,0.2916483619242243,69.51214813491481,3.2833565154621143,7899.704281011024,43
27,1305,0.0126278231944277,3.3447837147881407,-5099.558709302918,4399.866120475026,823.3554191780017,0.0520157553628556,3.495743063738214,0.005046843947716,0.3541504101484207,68.55767787788228,3.307107727141482,10857.195902222931,43
28,1334,0.012992754886016,3.2676118807970536,-5100.119597738592,4399.851109049893,819.087939292401,0.0521492640955864,3.3759725028085565,0.003486597224396,0.2343798492187634,69.3362976920767,3.2550874973753148,8605.608493835434,43
29,1335,0.0131320303253975,3.3295015156838583,-5100.393090754431,4399.850204391017,823.1955707139424,0.0521039187831553,3.5043194246878,0.0050923658449319,0.3627267710980066,68.31276119936996,3.3131112903423485,8491.877142203166,43
30,1364,0.0127981141813053,3.2615428920487983,-5100.465551800441,4399.858244907538,824.8854822377272,0.0525890107772966,3.394209277361424,0.0037706507957332,0.2526166237716305,67.74041036841602,3.2609925181116224,9583.572663010278,43
31,1407,0.0131124245254194,3.3018178597768197,-5099.767879479642,4399.848103316753,826.0612038041594,0.0527010169732758,3.428947666840826,0.0038758920648344,0.2873550132510329,67.49413571510851,3.2843882969112075,8235.83419069886,43
