,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
13938,0.0103997,-0.465494,6599.79,-3875.5,41.4133,781.745,0.0546453,5.83468,0.000118652,0.000288939
13939,0.0105876,-0.446864,6599.78,-3875.5,42.406,779.002,0.0542351,5.84733,0.000195137,0.0129434
13940,0.0107925,-0.454663,6599.77,-3875.5,42.8734,777.668,0.0540276,5.83281,-8.62257e-05,-0.0015768
13941,0.0105866,-0.500567,6599.78,-3875.5,41.919,780.788,0.0545945,5.80221,-0.000171507,-0.0321805
13942,0.010967,-0.472677,6599.77,-3875.5,43.5681,775.58,0.0534832,5.8194,-0.00025481,-0.0149858
13943,0.0108487,-0.478214,6599.77,-3875.5,42.989,777.503,0.0541168,5.82631,-1.36554e-05,-0.00808044
13944,0.0108259,-0.483421,6599.77,-3875.5,43.1708,776.852,0.0537689,5.80884,-0.000111314,-0.0255495
13945,0.0108305,-0.446134,6599.77,-3875.5,43.3,776.393,0.0537071,5.8446,0.000181523,0.0102165
13946,0.010382,-0.45924,6599.79,-3875.5,41.5416,781.315,0.0543844,5.83374,-2.09717e-05,-0.000641659
13947,0.010551,-0.44996,6599.78,-3875.5,41.9763,780.107,0.0543076,5.84732,0.000350057,0.0129384
13948,0.0103658,-0.484275,6599.79,-3875.5,41.4266,781.817,0.0546718,5.82301,-0.000217856,-0.0113753
13949,0.0107365,-0.41903,6599.78,-3875.5,42.8609,777.531,0.0537766,5.87722,0.000502381,0.0428386
13950,0.0109969,-0.432199,6599.76,-3875.5,43.8078,774.95,0.0533513,5.8694,0.000623368,0.0350131
13951,0.0106157,-0.450994,6599.78,-3875.5,42.2982,779.248,0.0542364,5.85313,9.75602e-05,0.0187478
13952,0.0106509,-0.420912,6599.78,-3875.5,42.2265,779.502,0.0542938,5.86909,0.000234217,0.0347022
13953,0.01058,-0.42274,6599.78,-3875.5,42.209,779.399,0.0541174,5.86689,0.000367102,0.0325006
13954,0.0106452,-0.41266,6599.78,-3875.5,42.1819,779.577,0.0542357,5.87886,0.000240289,0.0444767
