,Unnamed: 0,Unnamed: 0.1,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php,gem1_ph_local,sieve_r,sieve_ph,rate,hole_id
88,88,3883,0.0162261652795358,0.5740376657999392,-5100.401873864041,4399.771857530256,773.0051596206888,0.0454772009573158,0.7631856413050288,0.004704555278043,0.3143866907922011,83.94990887058692,0.5905056956669472,3310.8591951011385,13
89,89,3894,0.0156265340735134,0.5803949783746067,-5099.571409430422,4399.789530695542,779.6420698543598,0.0464784739083918,0.7597251494542034,0.0044455218725957,0.3109261989413758,81.54534394182197,0.5869536348016466,3978.11998235935,13
90,90,3961,0.016157274848136,0.5934038406759011,-5100.025991576132,4399.773948898439,775.3295694488022,0.0458720840363581,0.8008885986015986,0.0057082993436789,0.3520896480887709,82.8056836913575,0.6028827570771128,3381.3071924502883,13
91,91,3996,0.0157315993549483,0.5960383920386267,-5099.839801832921,4399.784750239173,776.7252502532228,0.0464284973495181,0.7868089990876915,0.0047997049314604,0.3380100485748639,82.42123893432566,0.5972179872383965,3780.412999368624,13
92,92,4086,0.0157129506885827,0.612247413915583,-5099.647207607132,4399.796333530235,771.8277249725211,0.0453694400148498,0.8013613724152847,0.0051223482454273,0.3525624219024571,83.70456712477745,0.6069483487288702,4285.179167306228,13
93,93,4186,0.0158059512135842,0.6045717343934218,-5100.377938385744,4399.783664234439,776.7090870126025,0.0459316376810304,0.7789685606405014,0.0047591509252536,0.3301696101276737,82.301075084718,0.5994355470013739,3737.4120671165583,13
94,94,4191,0.0158961767492741,0.5815184077853818,-5100.079447145887,4399.782879714705,778.3562836846243,0.0466758507821803,0.7474979119602957,0.0041975068504291,0.2986989614474681,82.28425339200469,0.5832399970764467,3706.770858137299,13
95,95,4199,0.0159658975830155,0.577098856580401,-5099.562006193617,4399.777355988811,774.8392927254797,0.0460586676083513,0.7555316708563589,0.0043942559056602,0.3067327203435313,83.34804351181259,0.5852573997649748,3500.6025949379664,13
96,96,4221,0.0159723500068099,0.6150637246816745,-5099.705003376018,4399.7813262386735,772.3890940484514,0.0457940635938247,0.7720714975740189,0.0051431678836564,0.3232725470611913,83.98545593936137,0.5969009747334812,3647.234466191549,13
97,97,4254,0.0159778311676993,0.5997053393250871,-5099.630088718234,4206.878437626458,780.0775721056743,0.0459752632728931,0.7677731784774873,0.0048022327689347,0.3189742279646597,84.06630866163064,0.5932909421405276,3941.1328776551113,13
98,98,4274,0.0159432096652206,0.5995848166316137,-5099.539683926273,4399.782780816324,774.353850756906,0.0458810852810124,0.7925591311179457,0.0051324183597737,0.3437601806051181,83.09278013140909,0.6021449298622266,3702.9329842135257,13
99,99,4287,0.0161491364574645,0.6028754965532543,-5100.020672833892,4399.778494974394,773.0755331749058,0.0456945322324755,0.7707704098235273,0.00485453288408,0.3219714593106997,83.72214577504616,0.5959020958449558,3541.7859142981165,13
100,100,4353,0.0161457693714864,0.5705775273043464,-5100.280921658253,4399.778218254359,775.2146769552187,0.0456722508528563,0.7468871384249933,0.0047088073774923,0.2980881879121657,83.4114589948183,0.5811948487072708,3531.7186648872225,13
101,101,4438,0.0162520424168434,0.551870273256823,-5099.818705217718,4399.7649944649165,779.8451003336781,0.0467159024413949,0.7737120944911904,0.0047136568008719,0.3249131439783628,81.87285489880931,0.5847306613601578,3093.4659292845613,13
