,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php,gem1_ph_local,sieve_r,sieve_ph,rate
5068,0.012290441570037416,2.961313059169736,-3875.5066225966057,4399.869840580808,875.3953509145157,0.057980430760178656,2.8923157623116533,-0.002790818377768052,-0.2492768912781398,48.92947578653089,2.963369647968239,1411.0307880980367
5101,0.011849875057410253,2.98742043827705,-3875.5262814613343,4399.879416670401,881.8021173747478,0.059476518404153696,2.9454583970067554,-0.0021457339693555936,-0.19613425658303774,47.39958702231665,2.989811198658458,1665.358990248254
5102,0.012450117273753657,2.974291996277625,-3875.3986608735813,4399.866006729871,873.0288357297668,0.057982125683998506,2.89550947591984,-0.003421886704554483,-0.24608317766995302,49.43349158216452,2.9706512223694856,1324.641548486386
5197,0.012263368873496376,2.953930494098677,-3875.46003805063,4399.867583105156,877.2082404822422,0.05893372057354009,2.8887515573474483,-0.002905996586601249,-0.25284109624234485,48.71191707653225,2.958592854341175,1359.2228076939334
5211,0.012421826051100957,3.040795506449733,-3875.5410826027096,4399.865440022998,871.4822421306393,0.05828474703107621,2.9850286140965308,-0.0016972433427304783,-0.15656403949326236,49.27280917917546,3.0319094192242075,1312.5160813159323
5213,0.011954821590732873,3.0276634264148043,-3875.464379821541,4399.874591423413,879.5299149064844,0.05898993864964332,2.9900914030084786,-0.0017125050887065389,-0.15150125058131447,47.55587245708673,3.0259128681325866,1529.6818824490135
5231,0.012272687353059404,3.0322031563428844,-3875.5287372143107,4399.869471426334,874.1195473696724,0.05868185655035382,2.992103994318749,-0.0019206459634068243,-0.14948865927104427,48.71276762415133,3.0339064893923764,1402.368142776314
5243,0.01207745885478688,2.9904692853375177,-3875.483406571433,4399.874838492575,876.9542793682314,0.0583603891914819,2.9361687124858835,-0.0026671999032557487,-0.2054239411039096,48.374646528487645,2.990618502687667,1536.2375666394385
5252,0.01223621145681707,3.0314247194833137,-3875.3869567952815,4399.867262291852,874.3062022415523,0.058128746797965564,2.982779350067427,-0.0017226582287113875,-0.15881330352236622,48.65116147137854,3.0270773791128667,1352.0815091160923
5318,0.012259161925094028,3.0241157304949673,-3875.487588525768,4399.870879874931,874.511455665561,0.05875669991039427,2.985507428631835,-0.0018291083401885736,-0.15608522495795807,48.67698251627809,3.0290636200580954,1435.8335129300324
5335,0.011814538068898936,3.001254953218613,-3875.546053343822,4399.879614688346,881.4142416562329,0.05901246516990104,2.9555827050367833,-0.00267373467447157,-0.18600994855300979,47.33492187232244,2.997407756101445,1671.289812349439
5340,0.012282161968408844,3.0095988705620567,-3875.524288674045,4399.870140548629,870.5484579814982,0.05770428489093708,2.959075393338347,-0.002205720766997709,-0.182517260251446,49.50178347328453,3.014791401686643,1418.1262780804268
5349,0.012301031316080322,3.002869381252687,-3875.584579789807,4399.86915912007,874.4882045976537,0.058505597926786765,2.9510213524479565,-0.0022146709783566645,-0.19057130114183662,48.79494997799506,3.0044011184824546,1395.098692313775
5480,0.01232807953683144,2.96740695727784,-3875.409970390759,4399.864949319389,874.1193499015168,0.05836435258875171,2.897947660287591,-0.003360526332302,-0.24364499330220202,49.25642095067413,2.9706473272592935,1311.138558361025
5524,0.012018193713376639,3.0409125853685053,-3875.606194788806,4399.874436888242,876.5347587496767,0.05871100328917171,3.007208895994168,-0.0013523048064352865,-0.13438375759562504,48.09183913104903,3.0418042006490276,1525.6018021461448
5537,0.012161917648067705,2.991214180022723,-3875.3908307440297,4399.872203365493,875.2350700479465,0.05821591280524244,2.9362623213523213,-0.002509859213920969,-0.20533033223747177,48.71551158246964,2.9934160073528924,1468.329841967699
5547,0.012383134268625128,2.9912298897226535,-3875.56766667226,4399.867462112261,870.4479918966969,0.057771681260380355,2.9162693430220807,-0.0031548828474108476,-0.22532331056771238,49.87388185459083,2.988184046049621,1356.523199638826
5562,0.011795941599214673,2.973414849923541,-3875.485605100698,4399.880171501219,883.9211577975822,0.059908192940171495,2.9338833252985044,-0.00229655121541555,-0.20770932829128874,47.124452708684245,2.978209295610734,1688.1299725014687
5568,0.01166333338954709,2.9649635890845465,-3875.454542836958,4399.88441601022,883.8796397657864,0.05918432066984768,2.9207722154437157,-0.0026466900019258394,-0.22082043814607744,47.131519748930515,2.9677495650687775,1824.8777584239613
5583,0.012066679616222955,3.022983034364702,-3875.393844145745,4399.873252325147,876.9624304466789,0.05865216900079295,2.9792015717970473,-0.001988331191908841,-0.16239108179274586,48.107649572041446,3.0211598005221996,1494.83732863342
5593,0.012384448334607638,2.956511606586874,-3875.558140194336,4399.868244438904,874.004513624897,0.05783291859975853,2.8978436534420275,-0.002937174487324167,-0.24374900014776557,49.20429747326629,2.96974317752706,1374.1149336322392
