,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php,gem1_ph_local,sieve_r,sieve_ph,rate
2301,0.011748939806844105,3.1295421173617934,-5100.18216043686,4399.88048703645,849.8762024808772,0.05616859448852458,3.1345395921053445,-0.0002037947596443195,-0.0070530614844486195,60.19121075128432,3.135184645881482,13889.848494713142
2307,0.011435133544692526,3.1385627282926003,-5099.678895930395,4399.887739423565,852.6147771497531,0.056052690144773286,3.164655829466173,0.0005255731374023534,0.023063175876379738,59.388298752058745,3.1524865968379756,15898.648847251883
2343,0.011064472414137482,3.151271381956701,-5099.5921162291625,4399.895141785929,860.4640578867624,0.057521101529888236,3.165750383251131,0.0005829612207211493,0.02415772966133778,57.3584444917595,3.1551159112034775,18409.059916891205
2391,0.011009608797350225,3.113659473428591,-5099.869943561818,4399.898756780895,858.4074734176428,0.05742892565943115,3.0898090482654954,-0.0007095447997042892,-0.05178360532429771,57.962124947929205,3.11245555413914,19846.453095662997
2442,0.011162001475535747,3.1442897425701926,-5100.108658607048,4399.888844847446,854.8919085423934,0.05670580757549597,3.1933981133214018,0.0008361131357924242,0.05180545973160866,58.78148466278652,3.165740952354827,16241.000503466455
2473,0.01173834553216877,3.125905674113827,-5099.608081032674,4399.882313094167,853.395968902454,0.05668321538978947,3.1326759139747646,-0.00023081526766838335,-0.00891673961502848,59.376737665917766,3.1341603071308777,14359.748626944254
2478,0.011234711708952115,3.2061976896568662,-5099.93404664481,4399.890431998333,852.0091019458407,0.05646862605247005,3.1709897133988822,0.00034100998748292895,0.029397059809089132,59.472039267154294,3.165139767443995,16751.356244092305
2486,0.01167235568460227,3.148144201014869,-5099.520256165732,4399.884278540896,850.766012453779,0.056202396875917715,3.1820205781464916,0.0005517186151460474,0.040427924556698525,59.97712141421141,3.1613176983914313,14891.411758631944
2530,0.011021788395522003,3.1198662958360512,-5100.322894290298,4399.893857021054,861.3978780994804,0.05726434185621155,3.116936412775279,-0.00018763686892413054,-0.024656240814513897,57.25857889687989,3.12333173829429,17934.237821959116
2547,0.011314199016719059,3.0936211709444676,-5099.755063187299,4399.8883247109,857.2852002656178,0.05688828622929849,3.087157772918106,-0.0005278614888640933,-0.054434880671687225,58.31889657060108,3.1078325573807812,16078.607454754407
2549,0.011131477838223562,3.1157376135175583,-5100.375984677824,4399.893227412443,858.6680524103881,0.05730695302423881,3.12835640417288,-0.0003587563162288468,-0.013236249416912926,57.846693254782956,3.130512913621268,17707.96456159839
2560,0.011244153977592833,3.140061476230435,-5099.719730198648,4399.8878254772735,851.3918809421355,0.056220457731639244,3.129589541839394,-7.62338418432975e-05,-0.012003111750399142,59.497165880993485,3.136584141310144,15924.92581160015
2603,0.011682100964894917,3.1886219944750898,-5099.812275596798,4399.881570707919,854.9230853047264,0.056338413191419696,3.133573268914283,-0.00018837969410874194,-0.00801938467551011,58.924094542140054,3.146928352589451,14166.001239547086
2629,0.011584177009647699,3.187966048656996,-5100.388389166606,4399.882288604136,855.0797748897616,0.05875317576927698,3.1669129688851037,-0.0001350580029178557,0.025320315295310536,59.244325613507705,3.1612498247924403,14353.296807168419
2651,0.0113770199053261,3.129457109469173,-5100.029513172609,4399.887460885927,856.6065940239251,0.056965184526299055,3.186916607258244,0.0006421061283735079,0.0453239536684511,58.51558643726875,3.161952405937521,15814.021653474625
2713,0.011611439215290623,3.09862838311382,-5099.808514118673,4399.87977026212,854.3252819591254,0.05683039697776513,3.10062418125256,-0.0006699627131311617,-0.04096847233723322,59.190974771334844,3.1145700342448195,13711.413396080681
2899,0.011644742757796395,3.116147000446672,-5099.842643719206,4399.880105397231,850.9208139544419,0.056222844536322765,3.11524762572763,-0.00027342781613271596,-0.026345027862163306,59.723791832159655,3.1272391695011943,13794.431134677508
2990,0.011392354796646485,3.1150348272612214,-5100.296972098079,4399.88617143681,849.9959068318273,0.05611135377554432,3.0899496416560637,-0.0013606122427650526,-0.051643011933729444,60.11986508823024,3.1149169125897456,15430.56288837857
3023,0.011385703405532912,3.183505396714551,-5100.3991410849185,4399.887324607288,857.3706316791651,0.056975083053203,3.153904719593213,0.00010341017580375336,0.01231206600341972,58.123327240709806,3.154699072399917,15772.852140456123
3046,0.01134390692654498,3.1408433789008656,-5100.230243330651,4399.886001816445,851.851458409614,0.05673458041989486,3.1621329042478217,0.00022290254448283775,0.020540250658028558,59.67003502875688,3.1484416719383423,15381.117141447243
3060,0.011124417103907417,3.1981376786758973,-5099.6867969635205,4399.891078462531,854.7480062093725,0.05654287922581481,3.1952263174163527,0.0007033902703455176,0.05363366382655954,58.69742322947331,3.1776170228245495,16965.8518750846
3063,0.010785249062391767,3.1316870548533453,-5099.69828221246,4399.8994607633085,855.376044372355,0.05692529957595645,3.16285842959078,0.00043039983165213787,0.02126577600098667,58.38066208043828,3.1516760859498643,20145.097469936893
3079,0.011415386164623464,3.090030291525741,-5100.018660234287,4399.893245623613,854.7882428302463,0.056570246853443244,3.0763953290500847,-0.001140774498065458,-0.06519732453970839,58.93398063203414,3.101792762872995,17714.451570521025
3187,0.011848427224469119,3.171590107275019,-5099.942284877164,4381.556608049938,850.3782231402595,0.05607860050095949,3.1708849630778517,0.00017852548946947696,0.02929230948805861,60.226720505202465,3.1623480371831807,13467.414013676014
3234,0.011060735471361941,3.1790317801517793,-5100.493531154175,4399.893822155379,855.7539352311826,0.05673725201301739,3.1374768783694327,-0.00013662838277616964,-0.00411577522036044,58.51091526185099,3.143285952697151,17921.59900935911
3251,0.011199484383569302,3.136440399652065,-5100.050059139701,4399.888563069932,854.6030456366155,0.056676565923293704,3.1383185280210104,0.00017545996161359438,-0.0032741255687827042,58.810935929409915,3.139429190004731,16152.735088767262
3272,0.01166637531971884,3.1692214105730017,-5099.865219404074,4399.8847438773555,849.8558272371041,0.05620982500899809,3.1747588917220484,-9.500433832391964e-06,0.03316623813225528,60.12143164358555,3.1621930735711046,15021.416144852239
3320,0.011304951467962792,3.1061688125068,-5100.454341905992,4399.88923690143,855.5880570671046,0.057052120520018054,3.1106255186159735,-0.00044142586871211836,-0.030967134973819643,58.56837953449176,3.11969479227606,16364.966871344222
