,hole_id,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
10671,41,0.0122152,3.0461,4399.87,-3875.53,49.7515,875.542,0.0586249,3.00655,-0.00152074
10672,41,0.0119452,2.9595,4399.88,-3875.59,49.2241,881.027,0.0591057,2.91127,-0.00239767
10673,41,0.0121189,2.987,4399.88,-3875.45,50.1001,876.156,0.0582602,2.92361,-0.00276313
10674,41,0.0123991,2.99052,4399.87,-3875.5,51.3813,869.415,0.0574631,2.93896,-0.00166822
10675,41,0.012193,3.01123,4399.87,-3875.56,50.037,875.026,0.0584015,2.96047,-0.00229723
10676,41,0.0119724,2.97131,4399.88,-3875.57,49.4703,879.407,0.0588136,2.92284,-0.00281677
10677,41,0.0124429,2.97699,4399.87,-3875.52,50.8562,872.958,0.0577826,2.91313,-0.00261574
10678,41,0.0124671,2.99949,4399.87,-3875.39,51.0863,871.296,0.0581166,2.93663,-0.00271041
10679,41,0.0118476,2.9931,4399.88,-3875.46,48.6935,881.442,0.0590725,2.95478,-0.00233321
10680,41,0.0118218,2.99166,4399.88,-3875.6,48.7362,881.695,0.0591797,2.94897,-0.00243754
10681,41,0.0121532,3.03092,4399.87,-3875.56,50.0316,874.389,0.058521,3.00261,-0.00185592
10682,41,0.0122718,3.00827,4399.87,-3875.47,50.6581,872.374,0.058376,2.95824,-0.00204111
10683,41,0.0124259,2.9672,4399.87,-3875.48,50.9549,872.796,0.057703,2.89217,-0.00333627
10684,41,0.0122281,3.01987,4399.87,-3875.43,49.7779,876.377,0.0590173,2.97048,-0.00208374
10685,41,0.0122389,3.02745,4399.87,-3875.55,50.5978,871.596,0.0577052,2.99566,-0.00233283
10686,41,0.0119078,3.00364,4399.88,-3875.38,49.182,879.153,0.0590188,2.95756,-0.00237158
10687,41,0.0118084,3.0096,4399.88,-3875.52,48.837,880.304,0.0589475,2.97371,-0.00203394
10688,41,0.0117927,3.02556,4399.88,-3875.6,48.6965,880.876,0.0591732,2.98992,-0.00189391
10689,41,0.0120491,3.01592,4399.88,-3875.46,49.6196,877.443,0.0596302,2.98219,-0.00111969
10690,41,0.0121037,3.01858,4399.87,-3875.52,50.1903,873.853,0.0582555,2.98548,-0.00153176
10691,41,0.0122731,2.97674,4399.87,-3875.37,50.6799,873.844,0.0579014,2.90887,-0.00287981
10692,41,0.0124427,2.9877,4399.86,-3875.46,51.6469,869.552,0.0579425,2.91499,-0.00287379
10693,41,0.0120554,2.99515,4399.87,-3875.62,49.6171,877.564,0.0586717,2.94534,-0.00225681
10694,41,0.0124114,2.97018,4399.87,-3875.38,51.1571,871.896,0.0578429,2.9012,-0.0029677
10695,41,0.0124285,2.98146,4399.87,-3875.43,51.3277,870.643,0.057229,2.89945,-0.00315153
10696,41,0.0121145,2.96408,4399.87,-3875.4,50.1335,876.329,0.0582268,2.91345,-0.00229709
10697,41,0.0126071,2.96448,4399.86,-3875.59,51.3623,870.902,0.0577849,2.90466,-0.00286629
10698,41,0.0121778,2.97001,4399.87,-3875.39,50.3721,875.248,0.0578394,2.89838,-0.00320367
10699,41,0.0121862,2.96344,4399.87,-3875.5,50.8616,873.602,0.058402,2.89072,-0.00316673
10700,41,0.0122539,3.03067,4399.87,-3875.39,50.6362,871.79,0.0579037,2.98349,-0.00194446
10701,41,0.0121797,2.99395,4399.87,-3875.4,50.5855,873.679,0.0582001,2.93276,-0.00244255
10702,41,0.0123921,2.99144,4399.87,-3875.42,51.3128,870.362,0.0575635,2.92517,-0.00245659
10703,41,0.0117396,2.99156,4399.88,-3875.58,48.4412,882.657,0.0596085,2.96432,-0.00225222
10704,41,0.0121443,2.97428,4399.87,-3875.55,50.0042,877.779,0.0594568,2.91597,-0.00335641
10705,41,0.0121706,2.98262,4399.87,-3875.44,50.0714,876.19,0.0584114,2.92885,-0.00295662
10706,41,0.0119134,3.0122,4399.88,-3875.41,49.4129,877.906,0.0591935,2.97437,-0.00215778
10707,41,0.012308,3.03399,4399.87,-3875.49,50.708,872.14,0.0584204,2.99006,-0.00169954
10708,41,0.0122721,3.00781,4399.87,-3875.48,49.4604,877.385,0.0587536,2.98131,-0.00173976
10709,41,0.0124243,3.02526,4399.87,-3875.46,51.3825,868.612,0.0578441,2.97698,-0.00204558
10710,41,0.011927,3.02816,4399.88,-3875.57,49.6461,876.434,0.0590814,2.9969,-0.00199949
10711,41,0.0118863,2.95896,4399.88,-3875.51,48.9656,882.047,0.059084,2.91714,-0.00264808
10712,41,0.0118132,2.96501,4399.88,-3875.56,48.8575,881.742,0.0590469,2.9366,-0.00263932
10713,41,0.0124127,3.02609,4399.87,-3875.59,51.3935,868.716,0.0578941,2.97568,-0.00195087
10714,41,0.0116922,2.98731,4399.88,-3875.54,48.4151,883.512,0.0595501,2.94512,-0.00207522
10715,41,0.0119905,2.99914,4399.87,-3875.61,49.5791,877.33,0.0588571,2.96001,-0.00244507
10716,41,0.0124759,2.98568,4399.86,-3875.54,51.4045,870.292,0.0573204,2.91492,-0.00267182
10717,41,0.0121223,3.00308,4399.87,-3875.44,50.4131,873.781,0.0584697,2.95315,-0.00248378
10718,41,0.011778,3.00516,4399.88,-3875.38,48.8748,880.24,0.0589466,2.96541,-0.00208737
10719,41,0.0121483,3.02806,4399.87,-3875.45,50.1427,873.834,0.0582475,2.99577,-0.00210654
10720,41,0.0119803,2.96488,4399.88,-3875.54,49.8628,877.713,0.0586252,2.91749,-0.00305076
10721,41,0.0119195,3.03167,4399.88,-3875.37,48.7608,880.481,0.0591205,2.99604,-0.00181283
10722,41,0.0126466,3.01584,4399.86,-3875.47,51.0238,872.229,0.0581437,2.92411,-0.00284022
10723,41,0.0119893,2.98804,4399.87,-3875.38,49.6698,877.996,0.0585378,2.92931,-0.00261192
10724,41,0.0122399,2.99097,4399.87,-3875.4,50.5969,873.595,0.0583872,2.93412,-0.00269104
10725,41,0.0121516,3.02528,4399.87,-3875.4,50.4225,872.877,0.0581046,2.97023,-0.00224636
10726,41,0.0121019,2.98107,4399.87,-3875.54,50.0102,877.111,0.0584092,2.9121,-0.00286071
10727,41,0.0123362,3.02352,4399.87,-3875.52,50.6841,871.948,0.0583337,2.97564,-0.00194449
10728,41,0.01183,2.98264,4399.88,-3875.5,48.9071,882.06,0.0594753,2.93034,-0.00268546
10729,41,0.011895,2.99529,4399.88,-3875.43,49.4201,878.434,0.0588653,2.94862,-0.00231909
10730,41,0.0121445,2.99303,4399.87,-3875.41,50.1267,875.274,0.058484,2.94422,-0.00237605
10731,41,0.0123374,3.02958,4399.87,-3875.62,50.9163,870.888,0.0580829,2.96762,-0.00205273
10732,41,0.0116718,2.99421,4399.88,-3875.39,48.3256,883.524,0.0598337,2.95868,-0.00179396
10733,41,0.0119309,2.99719,4399.88,-3875.38,49.2521,878.936,0.0588477,2.95489,-0.00236676
10734,41,0.012343,2.99576,4399.87,-3875.46,50.8779,872.673,0.0581018,2.92592,-0.00236754
10735,41,0.0124689,3.00043,4399.87,-3875.61,51.1766,870.224,0.0569734,2.93208,-0.00260422
10736,41,0.0120813,3.00029,4399.87,-3875.52,49.8982,876.21,0.0584873,2.94644,-0.00261931
10737,41,0.0122543,2.99225,4399.87,-3875.55,50.6235,873.8,0.0582865,2.92626,-0.00266899
10738,41,0.0124077,3.01229,4399.87,-3875.51,51.2274,869.688,0.0579822,2.9625,-0.00207736
10739,41,0.0118023,3.02589,4399.88,-3875.6,48.2379,882.952,0.0593555,2.9902,-0.00174065
10740,41,0.0123212,2.98731,4399.87,-3875.51,51.0236,871.632,0.0572935,2.92392,-0.0028077
10741,41,0.0118564,3.0017,4399.88,-3875.61,48.8521,881.386,0.0595253,2.95111,-0.00220334
10742,41,0.0121149,3.03477,4399.87,-3875.45,50.3643,872.94,0.0583402,2.99895,-0.001896
10743,41,0.0122993,2.998,4399.87,-3875.4,51.0426,870.784,0.0580363,2.95068,-0.00269369
10744,41,0.0122786,2.97844,4399.87,-3875.6,50.471,874.662,0.0583491,2.92532,-0.00284173
10745,41,0.0121587,2.98808,4399.87,-3875.58,50.6122,873.648,0.0580393,2.9275,-0.00250371
10746,41,0.0119597,3.02211,4399.88,-3875.5,48.8424,880.729,0.0597643,2.98687,-0.00163543
10747,41,0.0119991,3.02681,4399.88,-3875.57,50.1302,874.275,0.0585885,2.99106,-0.00190733
10748,41,0.0119126,2.99937,4399.88,-3875.61,48.9499,880.019,0.0592192,2.98107,-0.00164707
10749,41,0.0124139,2.97664,4399.87,-3875.54,50.5524,874.418,0.0578961,2.91154,-0.00289327
10750,41,0.0122375,2.95203,4399.87,-3875.58,49.9212,878.017,0.0585596,2.89541,-0.00253184
10751,41,0.0121382,3.02688,4399.87,-3875.41,50.0729,874.549,0.058343,2.9824,-0.00197565
10752,41,0.0121864,3.03061,4399.87,-3875.41,50.4884,872.424,0.0580497,2.99002,-0.00210123
