,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
5019,0.0133747,-2.08675,6599.65,-3875.5,53.1273,761.164,0.0497804,4.28175,0.00283463,0.242558
5020,0.0136082,-2.07184,6599.64,-3875.5,54.4337,758.612,0.0491869,4.30291,0.00310332,0.263719
5021,0.0132637,-2.12448,6599.66,-3875.5,52.8636,757.655,0.0494433,4.21154,0.00190334,0.172345
5022,0.0136748,-2.06817,6599.63,-3875.5,54.4137,758.49,0.0486747,4.30614,0.00302881,0.266949
5023,0.0132332,-2.13908,6599.66,-3875.5,53.7279,754.938,0.0485566,4.21202,0.00169884,0.172833
5024,0.0133032,-2.10544,6599.65,-3875.5,52.998,759.738,0.0495568,4.25038,0.00235474,0.211192
5025,0.0136354,-2.14109,6599.64,-3875.5,54.2706,752.976,0.0484348,4.20077,0.00175591,0.161581
5026,0.0136939,-2.08526,6599.64,-3875.5,54.2192,757.757,0.0490143,4.28103,0.00269334,0.241836
5027,0.0135306,-2.14073,6599.64,-3875.5,53.5246,754.844,0.0490712,4.19249,0.00147061,0.153303
5028,0.0138487,-2.12416,6599.63,-3875.5,55.0421,752.442,0.0483135,4.2259,0.00183493,0.186712
5029,0.0139792,-2.07666,6599.62,-3875.5,55.2218,755.642,0.0485455,4.29387,0.00265006,0.254677
5030,0.0136397,-2.10016,6599.64,-3875.5,53.9933,757.245,0.0491062,4.25573,0.00247169,0.216542
5031,0.0136732,-2.07981,6599.64,-3875.5,54.1809,758.272,0.0487887,4.29239,0.00270465,0.253197
5032,0.0132448,-2.08674,6599.66,-3875.5,52.7692,761.77,0.049507,4.27961,0.00284867,0.24042
5033,0.0135242,-2.14376,6599.64,-3875.5,53.7049,754.257,0.048925,4.18937,0.00159007,0.15018
5034,0.0137198,-2.07427,6599.63,-3875.5,54.4642,759.125,0.0493637,4.3079,0.0029295,0.268709
5035,0.01393,-2.09368,6599.62,-3875.5,55.525,753.683,0.0483012,4.27588,0.00267457,0.236685
5036,0.0134559,-2.10797,6599.65,-3875.5,53.5152,757.985,0.0492386,4.24567,0.00230156,0.206477
5037,0.0134084,-2.13877,6599.65,-3875.5,53.4844,755.29,0.0490758,4.20065,0.00184106,0.161463
5038,0.0134004,-2.06933,6599.65,-3875.5,53.4873,761.619,0.0498469,4.30239,0.00301358,0.263195
5039,0.0133835,-2.11902,6599.65,-3875.5,53.217,757.685,0.0490956,4.22905,0.00167582,0.189857
5040,0.013675,-2.07283,6599.63,-3875.5,54.4562,758.675,0.0489811,4.30826,0.00305113,0.269073
5041,0.0137743,-2.13422,6599.63,-3875.5,54.7321,751.922,0.0481768,4.20403,0.00172327,0.164843
5042,0.0135035,-2.07064,6599.64,-3875.5,53.4594,761.054,0.0495632,4.29579,0.00286116,0.2566
5043,0.0139178,-2.08553,6599.62,-3875.5,55.4626,754.891,0.048467,4.29394,0.00279964,0.254745
5044,0.0131335,-2.08241,6599.66,-3875.5,52.4916,762.033,0.0496347,4.26947,0.00253422,0.230283
5045,0.0133681,-2.13192,6599.65,-3875.5,53.3402,755.669,0.0491144,4.20175,0.00151591,0.162562
5046,0.0133341,-2.10278,6599.65,-3875.5,53.2486,758.921,0.0492235,4.25219,0.00258641,0.212998
5047,0.0137096,-2.07775,6599.64,-3875.5,54.6302,757.426,0.0487077,4.29661,0.00297163,0.25742
5048,0.0134455,-2.13022,6599.65,-3875.5,53.5407,755.494,0.0490362,4.20893,0.00177375,0.169739
5049,0.0134746,-2.12597,6599.65,-3875.5,53.519,756.601,0.0491289,4.2243,0.0020644,0.185108
5050,0.0136005,-2.12224,6599.64,-3875.5,54.1946,754.795,0.0489667,4.2239,0.00206196,0.184711
5051,0.0136142,-2.06372,6599.63,-3875.5,54.1302,760.388,0.0491623,4.31627,0.00306319,0.277076
